EVTDESC_TOG_110;While guiding the advance in your assigned sector of the Nerge, your horse was suddenly startled by a fox bolting from its hiding place. You were thrown off your saddle, and when you regained consciousness you found your arm painfully twisted at a strange angle. It looks like this hunt is over for you.;Tandis que vous guidiez la progression vers votre secteur désigné pour la Nerge, votre cheval  sursaute soudainement lorsqu'un renard bondit hors de son terrier. Vous heurtez violemment le sol et, lorsque vous reprenez conscience, vous vous apercevez que votre bras est tordu douloureusement de façon inhabituelle. Force est de constater que la partie de chasse est terminée pour vous.;Während Ihr den Fortschritt in dem Euch zugewiesenen Abschnitt der Nerge überwacht, wird Euer Pferd plötzlich von einem Fuchs, der aus seinem Versteck hechtet, verschreckt. Ihr fliegt vom Pferd und als Ihr Euer Bewusstsein wiedererlangt, ist Euer Arm in einem unnatürlichen Winkel schmerzhaft verdreht. Wie es scheint, ist die Jagd für Euch vorüber.;;Mientras guiaba el avance en el sector asignado de la Nerge, tu caballo se asustó de repente por un zorro escapando de su escondite. Fuiste arrojado de tu silla, y cuando recuperaste el conocimiento encontraste tu brazo dolorosamente torcido en un ángulo extraño. Parece que esta caza ha terminado para ti.;;;;;;;;;x
EVTDESC_TOG_111;While guiding the advance in his assigned sector of the Nerge, [From.GetTitledFirstName]'s horse was suddenly startled by a fox bolting from its hiding place. He was thrown off his saddle and broke his arm. For him, the hunt is over.;Tandis qu'il guidait la progression vers son secteur désigné pour la Nerge, le cheval [From.Get_du_TitledFirstName] sursaute soudainement lorsqu'un renard bondit hors de son terrier. [From.Get_Le_TitledFirstName] se heurte violemment au sol et se fracture le bras. Force est de constater que la partie de chasse est terminée pour lui.;Während [From.GetTitledFirstName] den Fortschritt im zugewiesenen Abschnitt der Nerge überwacht, wird [From.GetTitledFirstName]s Pferd plötzlich von einem Fuchs, der aus seinem Versteck hechtet, verschreckt. Er fliegt vom Pferd und als er sein Bewusstsein wiedererlangt, ist ein Arm in einem unnatürlichen Winkel schmerzhaft verdreht. Wie es scheint, ist die Jagd für ihn vorüber.;;Mientras guiaba el avance en el sector asignado de la Nerge, el caballo de [From.GetTitledFirstName] se asustó de repente por un zorro escapando de su escondite. Fue arrojado de su silla y se rompió un brazo. La caza ha terminado para él.;;;;;;;;;x
EVTDESC_TOG_112;Your forces continue to drive wildlife before them, but as they pass a small creek, their lines collide with forces under [quarreling_vassal.GetTitledFirstName]'s command! The cohesion of your forces has been broken, and when [quarreling_vassal.GetFirstName] chastises you in front of your men, you come to blows with the man!;Vos forces continuent de repousser les bêtes devant vous, mais lorsque vous atteignez un petit ruisseau, vous croisez la route des hommes sous le commandement [quarreling_vassal.Get_du_TitledFirstName] ! La cohésion de vos forces se brise et, lorsque [quarreling_vassal.GetFirstName] vous réprimande devant vos hommes, vous en venez aux coups avec l'importun ! ;Eure Truppen jagen das Wild weiter vor sich her, bis sie in einem schmalen Flusslauf mit den Truppen von [quarreling_vassal.GetTitledFirstName] zusammentreffen! Der Verbund Eurer Truppen gerät durcheinander und als [quarreling_vassal.GetFirstName] Euch vor den Augen Eurer Männer zusammenstaucht, explodiert Ihr.;;Tus fuerzas siguen impulsando la fauna silvestre delante suyo, pero a medida que pasan un pequeño arroyo, sus líneas chocan con fuerzas bajo el mando de [quarreling_vassal.GetTitledFirstName]! La cohesión de tus fuerzas se ha roto, y cuando [quarreling_vassal.GetFirstName] te castiga delante de tus hombres, llegas a las manos con él!;;;;;;;;;x
EVTDESC_TOG_113;Word has reached you that [From.GetTitledFirstName] came to blows with [quarreling_vassal.GetTitledFirstName] in front of their men, when their advancing lines became entangled in one another. No wildlife seems to have escaped, and the matter has been settled between the men. They will likely hold a grudge, however...;On vous a rapporté que [From.Get_le_TitledFirstName] en est venu[From.Get_E] aux mains avec [quarreling_vassal.Get_le_TitledFirstName] devant leurs hommes lorsque les deux troupes se sont croisées dans leur progression. Aucune bête ne semble toutefois s'être échappée et les deux hommes ont réglé leur différend. Par contre, ils en garderont certainement rancune...  ;Euch wird berichtet, dass [From.GetTitledFirstName] sich mit [quarreling_vassal.GetTitledFirstName] vor den Augen ihrer Männer zerstritten hat, als ihre vorstoßenden Truppen zusammenstießen. Kein Wild scheint entkommen zu sein und die Männer konnten die Sache unter sich regeln. Sie werden jedoch sicherlich einen Groll hegen...;;Han llegado rumores de que [From.GetTitledFirstName] llegó a las manos con [quarreling_vassal.GetTitledFirstName] delante de sus hombres, cuando sus líneas de avance se enredaron entre ellas. La fauna silvestre no parece haber escapado, y el asunto se ha resuelto entre los hombres. Sin embargo, probablemente se guarden rencor...;;;;;;;;;x
EVTDESC_TOG_114;You have failed to keep the advance of your men orderly, and as a result gaps have opened up in your lines. It's impossible to tell how much wildlife has escaped the encirclement, but some is bound to have slipped through the cracks. When the [Root.Liege.GetTitle] learns of this, [Root.Liege.GetSheHe] will not be pleased...;Vous n'avez pas réussi à tenir vos hommes en ordre de marche disciplinée, laissant des trous se former dans vos lignes. Impossible de savoir combien de bêtes sauvages ont pu échapper à l'encerclement, mais il est certain qu'il y a eu des rescapés. Quand votre [Root.Liege.GetTitle] apprendra ça, [Root.Liege.GetIlElle] n'appréciera pas...;Ihr konntet die Ordnung beim Vorstoß Eurer Truppen nicht aufrechterhalten und so kam es zu Lücken in der Linie. Es ist unmöglich abzuschätzen, wie viel Wild dadurch entkommen konnte, doch dass dies einigen gelang, ist sicher. Wenn [Root.Liege.GetTitle] davon erfährt, wird [Root.Liege.GetSheHe] nicht sehr erfreut sein...;;Has fallado en mantener el avance de tus hombres ordenadamente, y como resultado se han abierto brechas en tus líneas. Es imposible saber cuánta vida silvestre ha escapado del cerco, pero es probable que algunos se hayan escabullido por las grietas. Cuando el [Root.Liege.GetTitle] se entere de esto, [Root.Liege.GetSheHe] no estará contento...;;;;;;;;;x
EVTDESC_TOG_115;Through incompetence, [From.GetTitledFirstName] has failed to properly maintain his lines resulting in a large gap forming in the encirclement. Much wildlife has escaped, and tradition dictates that [From.GetFirstName] and his men be punished severely. Failure to do so could disrupt discipline among the other troops.;À cause de son incompétence, [From.Get_le_TitledFirstName] n'a pas réussi à tenir ses hommes en ordre de marche discipliné, laissant des trous se former dans ses lignes. De nombreuses bêtes sauvages se sont échappées et la tradition veut que [From.GetFirstName] et ses hommes soient sévèrement punis. Un manquement au respect de cette tradition pourrait bien perturber la discipline des autres troupes.;Durch Inkompetenz hat [From.GetTitledFirstName] versagt, die Linie seiner Truppen aufrechtzuerhalten, und es kam zu Lücken bei der Treibjagd. Wildtiere sind entkommen und die Tradition verlangt, dass [From.GetFirstName] und seine Truppen schwer dafür bestraft werden. Wenn dies nicht erfolgt, wird es die Moral der anderen Truppen beeinträchtigen.;;Por su incompetencia, [From.GetTitledFirstName] ha fracasado en mantener adecuadamente sus líneas dando como resultado un gran vacío en el cerco. Mucha vida silvestre ha escapado, y la tradición dicta que [From.GetFirstName] y sus hombres serán castigados severamente. De lo contrario, podría perturbar la disciplina entre los demás soldados.;;;;;;;;;x
EVTDESC_TOG_116;The [Root.Liege.GetTitle], in [Root.Liege.GetHerHis] wisdom, has decided to punish you and your men for your failure to maintain formation. Your life shall be spared, but you will be severely clubbed as a lesson to all. Unit cohesion must be maintained at all times.;Votre [Root.Liege.GetLordLady] lige, [Root.Liege.Get_only_le_Title][Root.Liege.GetTitle], a décidé dans sa sagesse de vous punir, ainsi que vos hommes, pour votre échec à maintenir votre formation. Votre vie sera épargnée, mais vous serez sévèrement battu[Root.Get_E] à coups de gourdin pour servir de leçon à tous. Il faut toujours maintenir la cohésion de l'unité.;[Root.Liege.GetTitle] hat in [Root.Liege.GetHerHis]er Weisheit den Entschluss getroffen, Euch und Eure Mannen für Euer Versagen zu bestrafen, die Treibjagdformation aufrechtzuerhalten. Euer Leben wird zwar verschont, aber Ihr werdet zur Lektion aller schwer verprügelt werden. Der Zusammenhalt der Truppen muss unter allen Umständen gewahrt bleiben.;;El [Root.Liege.GetTitle] en [Root.Liege.GetHerHis] sabiduría, ha decidido castigarte a ti y a tus hombres por la incapacidad de mantener la formación. Tu vida se salvará, pero serás severamente golpeado como una lección para todos. La unidad debe mantenerse unida en todo momento.;;;;;;;;;x
EVTDESC_TOG_117;As you advance together with your men in the Nerge, you suddenly spot a large and magnificent buck standing in a small clearing. Without thinking you raise your bow and fire an arrow. You score a direct hit and the animal falls to the ground, but you are in trouble now – no animals may be killed at this stage in the hunt.;Tandis qu'avec vos hommes vous avancez pendant la Nerge, vous apercevez soudainement un grand cerf majestueux se tenant dans une petite clairière. Sans réfléchir, vous bandez votre arc et décochez une flèche. Votre tir est parfait et l'animal s'effondre au sol. Vous voilà maintenant dans le pétrin : on ne doit tuer aucun animal à cette étape de la chasse. ;Als Ihr in der Nerge mit Euren Männern weiter vorstoßt, entdeckt Ihr plötzlich einen riesigen und ansehnlichen Bock auf einer kleinen Lichtung. Ohne nachzudenken, spannt Ihr Euren Bogen und schießt einen Pfeil ab. Ihr landet einen direkten Treffer und das Tier fällt zu Boden, aber nun steckt Ihr in Schwierigkeiten – kein Tier darf in dieser Phase der Jagd getötet werden.;;A medida que avanzas junto con tus hombres en la Nerge, de repente avistas un ciervo grande y magnífico de pie en un pequeño claro. Sin pensarlo, levantas tu arco y disparas una flecha. Aciertas un impacto directo y el animal cae al suelo, pero estás en problemas ahora, no se pueden matar animales en esta etapa de la caza.;;;;;;;;;x
EVTDESC_TOG_118;While advancing with his forces, [From.GetTitledFirstName] felled a buck with his bow. This is unacceptable – per ancient tradition, no animals may be killed during the Nerge before the encirclement has been completed. A harsh punishment for this transgression will be expected.;Avec ses troupes, [From.Get_le_TitledFirstName] a abattu un cerf d'une flèche. C'est inacceptable. L'ancienne tradition veut qu'aucun animal ne soit tué durant la Nerge avant que l'on n'ait terminé l'encerclement. Il faut s'attendre à une punition sévère pour cette transgression.  ;Beim Vorstoß mit seinen Truppen hat [From.GetTitledFirstName] einen Bock mit seinem Bogen erlegt. Das ist unverzeihlich – nach alter Tradition darf kein Tier während der Nerge getötet werden, bevor das Umzingeln nicht vollständig abgeschlossen ist. Eine schwere Strafe für diesen Verstoß wird erwartet.;;Mientras avanza con sus fuerzas, [From.GetTitledFirstName] derribó un ciervo con su arco. Esto es inaceptable, según la antigua tradición, los animales no pueden morir durante la Nerge antes de que el cerco se haya completado. Se espera una dura pena por este delito.;;;;;;;;;x
EVTDESC_TOG_150;The horde of frantic animals has been corralled into a clearing and they are now completely surrounded by your forces. As the [Root.GetTitle], you and your closest retinue will be given the first opportunity to engage in the killing sport. Only after you are finished will your vassals be allowed to hunt.;La horde d'animaux déchaînés a été confinée dans une clairière et se retrouve maintenant complètement cernée par vos forces. En tant qu[Root.Get_only_e_Title][Root.GetTitle], vous et vos plus proches sujets aurez l'opportunité de donner le signal de la curée. Vos vassaux pourront commencer à chasser seulement lorsque vous aurez terminé.;Eine Horde panischer Tiere wurde auf einer Lichtung umzingelt und ist nun komplett von Euren Truppen eingeschlossen. Als [Root.GetTitle] habt Ihr und Euer engstes Gefolge das Recht der ersten Jagdtrophäe. Erst wenn Ihr fertig seid, dürfen Eure Vasallen jagen. ;;La horda de animales frenéticos ha sido acorralada en un claro y ahora está completamente rodeada por tus fuerzas. Como el [Root.GetTitle], tu séquito más cercano y tú tendréis la primera oportunidad de participar en el deporte asesino. Sólo después de que haya terminado se le permitirá a tus vasallos cazar.;;;;;;;;;x
EVTDESC_TOG_151;The horde of frantic animals has been corralled into a clearing and they are now completely surrounded by the [Root.Liege.GetTitle]'s forces. As is [Root.Liege.GetHerHis] right, the [Root.Liege.GetTitle] and [Root.Liege.GetHerHis] closest retinue will start the killing. When [Root.Liege.GetSheHe] is finished, it will be your turn along with the other vassals.;La horde d'animaux déchaînés a été confinée dans une clairière et est maintenant complètement cernée par les hommes [Root.Liege.Get_only_du_Title][Root.Liege.GetTitle]. Par les droits qui lui reviennent, [Root.Liege.Get_only_le_Title][Root.Liege.GetTitle] et ses plus proches sujets commenceront la curée. Lorsqu'ils en auront terminé, ce sera votre tour à vous et aux autres vassaux.;Eine Horde panischer Tiere wurde auf einer Lichtung umzingelt und ist nun komplett von [Root.Liege.GetTitle]s Truppen eingeschlossen. Als [Root.Liege.GetTitle] ist es [Root.Liege.GetHerHis] Recht, dass [Root.Liege.GetTitle] und [Root.Liege.GetHerHis] engstes Gefolge die erste Jagdtrophäe erhalten werden. Erst wenn [Root.Liege.GetSheHe] fertig ist, dürft Ihr mit den anderen Vasallen jagen. ;;La horda de animales frenéticos ha sido acorralada en un claro y ahora está completamente rodeada por las fuerzas de [Root.Liege.GetTitle]. Como es [Root.Liege.GetHerHis] derecho, el [Root.Liege.GetTitle] y [Root.Liege.GetHerHis] comitiva más cercana empezarán la matanza. Cuando [Root.Liege.GetSheHe] haya terminado, será tu turno junto con los otros vasallos.;;;;;;;;;x
EVTDESC_TOG_152;You spend a few hours hunting the trapped game, and it soon becomes obvious to everyone that you have a real knack for this. The arrows from your bow easily find their marks, and you seem better able than most in predicting the behavior of the animals.;Vous avez passé quelques heures à chasser le gibier pris au piège et il devient de plus en plus évident que vous possédez un véritable talent. Les flèches que vous décochez atteignent facilement leur cible et vous semblez meilleur que quiconque pour deviner à l'avance le comportement des animaux. ;Ihr verbringt einige Stunden mit der Jagd des eingeschlossenen Wilds und es wird schnell ersichtlich, dass Ihr ein Händchen dafür habt. Die Pfeile Eures Bogens finden mit Leichtigkeit ihr Ziel und Ihr scheint besser als jeder andere das Verhalten der Tiere vorhersehen zu können.;;Te pasas unas horas cazando, y pronto se hace evidente para todos que tienes un verdadero don para esto. Las flechas de tu arco encuentran fácilmente sus marcas, ya que pareces más hábil que la mayoría en la predicción del comportamiento de los animales.;;;;;;;;;x
EVTDESC_TOG_158;One of your warriors has demonstrated exceptional skill during the Nerge, both in sheer martial ability and in the art of effectively commanding a large body of men. He is brought before his [Root.GetTitle], and your advisors suggest that you consider elevating him into a position in your court.;L'un de vos guerriers a démontré un talent exceptionnel durant la Nerge, tant en pures aptitudes martiales qu'en capacité à commander efficacement un grand nombre d'hommes. Alors qu'il a été amené devant vous, vos conseillers vous suggèrent de lui octroyer un poste à votre cour.;Einer Eurer Krieger zeigte herausragende Fähigkeiten während der Nerge, sowohl im Kampf als auch als Kommandant einer größeren Truppe von Männern. Er wurde vor seinen [Root.GetTitle] gerufen und Eure Ratgeber empfehlen, ihn in eine Position an Eurem Hofe zu berufen.;;Uno de tus guerreros ha demostrado una habilidad excepcional durante la Nerge, tanto en la capacidad marcial pura como en el arte de dirigir con eficacia un gran cuerpo de hombres. Es traído antes de su [Root.GetTitle] y tus consejeros sugieren que consideres elevarlo a una posición en la corte.;;;;;;;;;x
EVTDESC_TOG_159;As a gift, one of your warriors participating in the Great Hunt has offered you an exceptional bear cub that he managed to tie up and capturing while advancing with the rest of your forces. The animal's fur is white and its eyes are a deep red – it seems to be an albino.;L'un de vos guerriers participant à la Grande Chasse vous a offert en cadeau un magnifique ourson qu'il a réussi à capturer et à ligoter pendant que vos troupes progressaient. La fourrure de l'animal est blanche et ses yeux sont d'un rouge profond, sans doute un albinos.;Einer Eurer Krieger, der an der Großen Jagd teilnahm, bietet Euch ein beachtliches Bärenjunges als Geschenk an, das er einfangen konnte, während Ihr mit den Truppen weiter vormarschiert seid. Das Fell des Tieres ist weiß und seine Augen sind von einem dunklen Rot – offenbar ein Albino.;;Como regalo, uno de tus guerreros que participa en la Gran Cacería te ha ofrecido un excepcional cachorro de oso que se las arregló para atar y capturar mientras avanzaba con el resto de tus fuerzas. El pelaje del animal es blanco y sus ojos son de un color rojo oscuro, parece ser albino.;;;;;;;;;x
EVTDESC_TOG_160;A high-pitched shriek outside your yurt draws your attention. As you push the flaps aside, you spot [bear_victim.GetTitledFirstName] lying wounded on the ground not far from your chained pet albino bear. It looks like [bear_victim.GetSheHe] got too close to the powerful animal. You return back inside your yurt to focus on more important matters.;Un cri perçant à l'extérieur de votre yourte attire votre attention. En écartant les rabats, vous apercevez [bear_victim.Get_le_TitledFirstName] blessé[bear_victim.Get_E], étendu[bear_victim.Get_E] au sol, non loin de l'ours albinos enchaîné. Sans doute s'est-[bear_victim.GetIlElle] aventuré[bear_victim.Get_E] trop près du puissant animal. Vous retournez dans votre yourte afin de vous concentrer sur des choses plus importantes.;Ein schriller Schrei außerhalb Eures Rundzeltes erweckt Eure Aufmerksamkeit. Als Ihr das Zelt verlasst, seht Ihr [bear_victim.GetTitledFirstName] verwundet am Boden liegend, nicht weit entfernt von Eurem angeketteten Albinobären. Offenbar gelangte [bear_victim.GetSheHe] zu nahe an das mächtige Tier. Ihr kehrt in Eurer Zelt zurück, um Euch wichtigeren Dingen zu widmen.;;Un grito agudo fuera de tu yurta llama tu atención. Al empujar las solapas a un lado, detectas a [bear_victim.GetTitledFirstName] herido, tumbado en el suelo cerca de tu oso albino encadenado. Parece que [bear_victim.GetSheHe] se acercó demasiado al poderoso animal. Vuelves de nuevo dentro de tu yurta para centrarte en asuntos más importantes.;;;;;;;;;x
EVTDESC_TOG_161;A high-pitched shriek outside your yurt draws your attention. As you push the flaps aside, you spot [bear_victim.GetTitledFirstName] lying maimed on the ground not far from your chained pet albino bear. It looks like [bear_victim.GetSheHe] got too close to the powerful animal. You return back inside your yurt to focus on more important matters.;Un cri perçant à l'extérieur de votre yourte attire votre attention. En écartant les rabats, vous apercevez [bear_victim.Get_le_TitledFirstName] mutilé[bear_victim.Get_E], étendu[bear_victim.Get_E] au sol, non loin de l'ours albinos enchaîné. Sans doute s'est-[bear_victim.GetIlElle] aventuré[bear_victim.Get_E] trop près du puissant animal. Vous retournez dans votre yourte afin de vous concentrer sur des choses plus importantes.;Ein schriller Schrei außerhalb Eures Rundzeltes erweckt Eure Aufmerksamkeit. Als Ihr das Zelt verlasst, seht Ihr [bear_victim.GetTitledFirstName] entstellt am Boden liegend, nicht weit entfernt von Eurem angeketteten Albinobären. Offenbar gelangte [bear_victim.GetSheHe] zu nahe an das mächtige Tier. Ihr kehrt in Eurer Zelt zurück, um Euch wichtigeren Dingen zu widmen.;;Un grito agudo fuera de tu yurta llama tu atención. Al empujar las solapas a un lado, detectas a [bear_victim.GetTitledFirstName] mutilado, tumbado en el suelo cerca de tu oso albino encadenado. Parece que [bear_victim.GetSheHe] se acercó demasiado al poderoso animal. Vuelves de nuevo dentro de tu yurta para centrarte en asuntos más importantes.;;;;;;;;;x
EVTDESC_TOG_162;A high-pitched shriek outside your yurt draws your attention. As you push the flaps aside, you spot [bear_victim.GetTitledFirstName] lying dead on the ground not far from your chained pet albino bear. It looks like [bear_victim.GetSheHe] got too close to the powerful animal. You return back inside your yurt to focus on more important matters.;Un cri perçant à l'extérieur de votre yourte attire votre attention. En écartant les rabats, vous apercevez [bear_victim.Get_le_TitledFirstName] gisant sans vie sur le sol, non loin de l'ours albinos enchaîné. Sans doute s'est-[bear_victim.GetIlElle] aventuré[bear_victim.Get_E] trop près du puissant animal. Vous retournez dans votre yourte afin de vous concentrer sur des choses plus importantes.;Ein schriller Schrei außerhalb Eures Rundzeltes erweckt Eure Aufmerksamkeit. Als Ihr das Zelt verlasst, seht Ihr [bear_victim.GetTitledFirstName] tot am Boden liegend, nicht weit entfernt von Eurem angeketteten Albinobären. Offenbar gelangte [bear_victim.GetSheHe] zu nahe an das mächtige Tier. Ihr kehrt in Eurer Zelt zurück, um Euch wichtigeren Dingen zu widmen.;;Un grito agudo fuera de tu yurta llama tu atención. Al empujar las solapas a un lado, detectas a [bear_victim.GetTitledFirstName] muerto, tumbado en el suelo cerca de tu oso albino encadenado. Parece que [bear_victim.GetSheHe] se acercó demasiado al poderoso animal. Vuelves de nuevo dentro de tu yurta para centrarte en asuntos más importantes.;;;;;;;;;x
EVTDESC_TOG_163;Some visiting foreign dignitaries who have come to offer tribute to you, the great [Root.GetTitle], have become very impressed with your pet albino bear. They claim never to have seen such a magnificent beast, and that you must be a powerful leader indeed to have enslaved it.;Quelques dignitaires étrangers venus en visite pour vous offrir des tributs, à vous [Root.GetLeLa] grand[Root.Get_E] [Root.GetTitle], ont été très impressionnés par votre ours albinos. Ils disent ne jamais avoir vu une bête aussi majestueuse et que vous devez être un bien puissant chef pour être parvenu à en faire votre esclave.;Einige fremde Würdenträger, die Euch besuchten, um Euch als [Root.GetTitle] Tribut zu erweisen, sind sehr beeindruckt von Eurem zahmen Albinobären. Sie betonen, noch nie ein solch wunderbares Biest gesehen zu haben, und dass Ihr ein gar machtvoller Herrscher sein müsst, um es zähmen zu können.;;Algunos visitantes dignatarios extranjeros que han venido a ofrecerte homenaje, al gran [Root.GetTitle], han llegado a estar muy impresionados con tu oso albino. Dicen no haber visto nunca una bestia tan magnífica, y que debes ser un poderoso líder por haberlo esclavizado.;;;;;;;;;x
EVTDESC_TOG_164;Some travelers from faraway Hindustan have offered to teach your pet bear to dance, and you have accepted their offer. After spending many months at your court, they have succeeded and you have become renowned throughout the world as the mighty [Root.GetTitle] with the dancing white bear.;Quelques voyageurs venus du lointain Hindoustan vous ont offert d'enseigner à votre ours à danser, offre que vous avez acceptée. Après avoir séjourné de nombreux mois dans votre cour, ils ont réussi et vous êtes devenu[Root.Get_E] célèbre à travers le monde en tant que puissant[Root.Get_E] [Root.GetTitle] à l'ours blanc dansant. ;Einige Reisende von Hindustan haben Euch angeboten, Eurem Bären das Tanzen beizubringen, und Ihr habt dieses Angebot angenommen. Nach einigen Monaten an Eurem Hofe hatten sie Erfolg und Ihr wurdet weltweit bekannt als [Root.GetTitle] voll Macht mit einem tanzenden, weißen Bären.;;Algunos viajeros procedentes de la lejana Hindustan se han ofrecido para enseñar a tu mascota el oso a bailar, y has aceptado su oferta. Después de pasar varios meses en tu corte, han tenido éxito y te has hecho famoso en todo el mundo como el poderoso [Root.GetTitle] con el oso blanco que baila.;;;;;;;;;x
EVTDESC_TOG_165;Your pet albino bear does not seem to be feeling well. It refuses to eat, and its handlers are at a loss to explain what might be wrong with it. Could it be that the proud animal has grown tired of its chains and yearns to be free?;Votre ours albinos ne semble pas très en forme. Il refuse de manger et ceux qui s'en occupent n'arrivent pas à expliquer ce qui ne va pas. Se pourrait-il que le fier animal soit fatigué d'être enchaîné et qu'il aspire à la liberté ?  ;Eurem zahmen Albinobären scheint es nicht gut zu gehen. Er verweigert die Nahrung und seine Pfleger sind ratlos, was nicht in Ordnung sein könnte. Kann es sein, dass das stolze Tier seiner Ketten müde ist und sich nach Freiheit sehnt?;;Tu oso albino no parece estar sintiéndose bien. Se niega a comer, y sus controladores están perdidos para explicarse lo que puede estar pasándole. ¿Podría ser que el imponente animal se ha cansado de sus cadenas y anhela ser libre?;;;;;;;;;x
EVTDESC_TOG_166;Sadly, you discovered this morning that your pet albino bear has passed away. The poor animal will get a proper funeral.;C'est avec tristesse que vous découvrez ce matin que votre ours albinos a trépassé. Le pauvre animal aura droit à des funérailles appropriées.;Leider musstet Ihr heute morgen entdecken, dass Euer zahmer Albinobär dahingeschieden ist. Das arme Tier wird ein angemessenes Begräbnis erhalten.;;Lamentablemente, descubriste esta mañana que tu oso albino ha fallecido. El pobre animal tendrá un funeral apropiado.;;;;;;;;;x
EVTDESC_TOG_169;As per tradition, some of your older soldiers have come before you to plead for the life of those few animals that remain in the encircled clearing. Their release, as a display of the [Root.GetTitle]'s mercy, usually signals the end of the Nerge, and the beginning of nine days of feasting.;Comme de coutume, quelques-uns de vos plus vieux soldats se sont présentés devant vous pour plaider la cause des quelques animaux encore en vie dans la clairière encerclée. Leur remise en liberté, preuve de la miséricorde [Root.Get_only_du_Title][Root.GetTitle], signale également la fin de la Nerge et le début de neuf jours de festin.;Gemäß alter Tradition traten einige Eurer alten Soldaten vor Euch, um für das Leben der wenigen Tiere zu flehen, die noch auf der umzingelten Lichtung verweilen. Ihre Freilassung, als Zeichen des [Root.GetTitle]s-Gnade, gibt üblicherweise das Signal zum Ende der Nerge und des Beginns eines neuntägigen Gelages.;;Según la tradición, algunos de tus soldados más antiguos han llegado antes que tú para suplicar por la vida de los pocos animales que quedan en el claro rodeado. Su liberación, como una muestra de la merced de [Root.GetTitle], por lo general señala el final de la Nerge y el comienzo de nueve días de fiesta.;;;;;;;;;x
EVTDESC_TOG_170;With the hunt over and the fallen game collected, a magnificent feast has been prepared for all who took part. The next nine days will be ones of drunken revelry and celebration.;La chasse est maintenant terminée, le gibier abattu est ramassé, le festin majestueux peut désormais avoir lieu. Tous ceux qui ont pris part à la chasse y sont conviés. Les neuf prochains jours seront consacrés à la beuverie festive et à la célébration.;Mit dem Ende der Jagd und dem Einsammeln der gesamten erlegten Beute wurde ein gewaltiger Gelage für alle Jagdbeteiligten vorbereitet. Die nächsten neun Tage werden weinselig und eine einzige Feier.;;Con la caza finalizada y el juego terminado, una magnífica fiesta se ha preparado para todos los que participaron. Los próximos nueve días serán de borrachera y celebración.;;;;;;;;;x
EVTDESC_TOG_180;With the feasting over, the remaining spoils of the hunt are divided evenly between all of the forces that participated. As everyone departs, you survey the surrounding land. It will be some time before the wildlife in this region recovers from this slaughter, but when that happens, the time will be ripe for another Great Hunt.;Maintenant que le festin est terminé, les restants de la chasse sont distribués entre tous ceux qui y ont pris part. Tandis que tous quittent les lieux, vous scrutez les alentours. Il faudra du temps avant que la nature sauvage de cette région se soit complètement remise de ce massacre, mais lorsque cela sera fait, il sera temps pour une autre Grande Chasse. ;Mit dem Ende des Gelages werden die verbleibenden Erträge der Jagd zu gleichen Teilen unter allen teilnehmenden Truppen verteilt. Während alle aufbrechen, überschaut Ihr das umliegende Land. Es wird einige Zeit dauern, bis sich das Wild in dieser Gegend von diesem Schlachtfest erholt. Doch wenn es so weit ist, wird die Zeit reif sein für die nächste Große Jagd.;;Con la fiesta terminada, el resto de los despojos de la caza se divide en partes iguales entre todas las fuerzas que participaron. Como todos se van, examinas el terreno circundante. Pasará algún tiempo antes de que la vida salvaje en esta región se recupere de esta masacre, pero cuando esto suceda, el tiempo será propicio para otra Gran Cacería.;;;;;;;;;x
EVTDESC_TOG_181;With the present war, the Great Hunt has been called off and you and your men will have to get your training hunting the most dangerous game of all – Man. Perhaps when the dust has settled and peace returned, a new Nerge can be organized.;En raison de la guerre en cours, on a interrompu la Grande Chasse et vous et vos hommes devrez vous entraîner en chassant le plus dangereux de tout le gibier : l'homme. Peut-être que lorsque la poussière sera retombée et que la paix sera revenue nous pourrons organiser une nouvelle Nerge.  ;Die Große Jagd wurde wegen des gegenwärtigen Krieges abgesagt und Eure Männer werden sich darin üben, das gefährlichste Tier aller Zeiten zu jagen – den Menschen. Wenn sich der Staub legt und Frieden einkehrt, kann vielleicht eine neue Nerge organisiert werden.;;Con la guerra actual, la Gran Cacería ha sido cancelada y tú y tus hombres tendréis que convertir vuestra caza de entrenamiento en el juego más peligroso de todos: cazar al hombre. Tal vez cuando el polvo se haya asentado y la paz retornado, se pueda organizar una nueva Nerge.;;;;;;;;;x

EVTNAME_TOG_001;The Fall of Kiev;La chute de Kiev;Das Ende von Kiew;;La Caída de Kiev;;;;;;;;;x
EVTNAME_TOG_002;The Fall of Novgorod;La chute de Novgorod;Das Ende von Nowgorod;;La Caída de Novgorod;;;;;;;;;x
EVTNAME_TOG_003;The Fall of Krakow;La chute de Cracovie;Das Ende von Krakau;;La Caída de Cracovia;;;;;;;;;x
EVTNAME_TOG_004;The Fall of Aachen;La chute d'Aix-la-Chapelle;Das Ende von Aachen;;La Caída de Aquisgrán;;;;;;;;;x
EVTNAME_TOG_005;The Fall of Paris;La chute de Paris;Das Ende von Paris;;La Caída de París;;;;;;;;;x
EVTNAME_TOG_006;The Fall of London;La chute de Londres;Das Ende von London;;La Caída de Londres;;;;;;;;;x
EVTNAME_TOG_007;The Fall of Rome;La chute de Rome;Das Ende von Rom;;La Caída de Roma;;;;;;;;;x
