#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1013;Lori;;Lori;;;;;;;;;;;x
PROV1112;Madurai;;Madurai;;;;;;;;;;;x
PROV1113;Chagai;;Chagai;;;;;;;;;;;x
PROV1114;Mahoyadapuram;;Mahoyadapuram;;;;;;;;;;;x
PROV1115;Cholamandalam;;Cholamandalam;;;;;;;;;;;x
PROV1116;Tenkasi;;Tenkasi;;;;;;;;;;;x
PROV1117;Qalqut;;Qalqut;;;;;;;;;;;x
PROV1118;Manyapura;;Manyapura;;;;;;;;;;;x
PROV1119;Kanchipuram;;Kanchipuram;;;;;;;;;;;x
PROV1120;Tagadur;;Tagadur;;;;;;;;;;;x
PROV1121;Uchangidurga;;Uchangidurga;;;;;;;;;;;x
PROV1122;Udayagiri;;Udayagiri;;;;;;;;;;;x
PROV1123;Vengipura;;Vengipura;;;;;;;;;;;x
PROV1124;Honnore;;Honnore;;;;;;;;;;;x
PROV1125;Thana;;Thana;;;;;;;;;;;x
PROV1126;Daman;;Daman;;;;;;;;;;;x
PROV1127;Navasarika;;Navasarika;;;;;;;;;;;x
PROV1128;Vizagipatam;;Vizagipatam;;;;;;;;;;;x
PROV1129;Kataka;;Kataka;;;;;;;;;;;x
PROV1130;Mandavyapura;;Mandavyapura;;;;;;;;;;;x
PROV1131;Karmanta;;Karmanta;;;;;;;;;;;x
PROV1133;Vadodara;;Vadodara;;;;;;;;;;;x
PROV1134;Bhumilka;;Bhumilka;;;;;;;;;;;x
PROV1135;Valabhi;;Valabhi;;;;;;;;;;;x
PROV1136;Dvaraka;;Dvaraka;;;;;;;;;;;x
PROV1137;Mansura;;Mansura;;;;;;;;;;;x
PROV1138;Bhakkar;;Bhakkar;;;;;;;;;;;x
PROV1139;Makran;;Makran;;;;;;;;;;;x
PROV1140;Banavasi;;Banavasi;;;;;;;;;;;x
PROV1141;Kol;;Kol;;;;;;;;;;;x
PROV1142;Pratishthana;;Pratishthana;;;;;;;;;;;x
PROV1143;Kalyani;;Kalyani;;;;;;;;;;;x
PROV1144;Kollipake;;Kollipake;;;;;;;;;;;x
PROV1145;Devagiri;;Devagiri;;;;;;;;;;;x
PROV1146;Naldurg;;Naldurg;;;;;;;;;;;x
PROV1147;Mandapika;;Mandapika;;;;;;;;;;;x
