EVTNAME_TOG_4003;The Jomsvikings;Les Jomsvikings;Die Jomswikinger;;Los Jomsvikings;;;;;;;;;x

EVTDESC_TOG_4001;I trust you are in good health, [Root.GetTitledFirstName]. My name is Palnatoke, and I have taken it upon myself to create a brotherhood of warriors devoted to Thor and Odin. While sailing along the coast of [jomsvikings_province.GetName], I discovered the perfect site to build our stronghold and I would ask your permission to settle this land.\n\nSigned,\n[From.GetTitledName];J'espère que vous allez bien, [Root.GetTitledFirstName]. Je m'appelle Palnatoke, et j'ai pris la décision de créer une fraternité de guerriers dévoués à Thor et Odin. En naviguant près des côtes de [jomsvikings_province.GetName], j'ai trouvé l'endroit idéal pour bâtir notre forteresse et je viens vous demander la permission de m'établir sur cette terre.\n\nSigné,\n[From.GetTitledName];Ich hoffe, es geht Euch gut, [Root.GetTitledFirstName]. Mein Name ist Palnatoke und ich habe es auf mich genommen, eine Bruderschaft der Krieger zu Ehren von Thor und Odin zu gründen. Während ich die Küste von [jomsvikings_province.GetName] entlangsegelte, entdeckte ich den perfekten Ort für unsere Festung und ich möchte um Eure Erlaubnis bitten, dieses Land besiedeln zu dürfen.\n\nGezeichnet,\n[From.GetTitledName];;Confío en que te encuentras bien de salud, [Root.GetTitledFirstName]. Mi nombre es Palnatoke, y me he nombrado para crear una hermandad de guerreros dedicados a Thor y Odín. Mientras navegaba a lo largo de la costa de [jomsvikings_province.GetName], descubrí el sitio perfecto para construir nuestra fortaleza y te pido permiso para establecerme en esta tierra.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTDESC_TOG_4002;The Vikings under Palnatoke have finished their stronghold in [Root.Location.GetName] and the warrior brotherhood have established it as their headquarters. Henceforth the new castle shall be known as Jomsborg.;Les Vikings de Palnatoke ont terminé leur forteresse à [Root.Location.GetName] et la fraternité de guerriers y a établi ses quartiers généraux. Le nouveau château sera désormais connu sous le nom de Jomsborg.;Die Wikinger unter Palnatoke haben ihre Festung in [Root.Location.GetName] fertiggestellt und als Hauptquartier ihrer Krieger-Bruderschaft etabliert. Von nun an soll das Schloss Jomsburg heißen.;;Los vikingos bajo Palnatoke han terminado su fortaleza en [Root.Location.GetName] y la hermandad guerrera la ha establecido como su sede. De ahora en adelante el nuevo castillo se conocerá como Jomsborg.;;;;;;;;;x
EVTDESC_TOG_4003;A band of fierce Vikings have established a warrior brotherhood in [jomsvikings_province.GetName] along the Baltic coast. Based in a castle known as Jomsborg, these Jomsvikings are devoted to Thor, Odin and the other Norse gods. They brook no quarter on the battlefield and will permit only the strongest and ablest warriors amongst their number.\n\nThough there are those who would dismiss them as simple brigands, the Jomsvikings have vowed to defend all Norse lands being encroached by Christendom or other foreign religions.;Une bande de féroces Vikings a établi une fraternité de guerriers en [jomsvikings_province.GetName] sur la côte baltique. Vivant dans un château connu sous le nom de Jomsborg, ces Jomsvikings vouent un culte à Thor, à Odin et à d'autres dieux nordiques. Ils ne font pas de quartier sur le champ de bataille et n'admettent que les plus forts et les meilleurs dans leurs rangs.\n\nBien que certains les considèrent comme de simples brigands, les Jomsvikings ont pour mission de défendre toutes les terres nordiques qu'envahissent le christianisme et d'autres religions étrangères.;Eine Bande grimmiger Wikinger hat eine Bruderschaft der Krieger in [jomsvikings_province.GetName] an der baltischen Küste gegründet. Mit dem Hauptquartier in der Jomsburg huldigen die Jomswikinger Thor, Odin und den anderen nordischen Göttern. Gnadenlos auf dem Schlachtfeld, erlauben sie nur die stärksten und besten Krieger in ihren Reihen.\n\nAuch wenn es jene gibt, die sie verächtlich als einfache Räuber bezeichnen, so haben die Jomswikinger doch geschworen, alle nordischen Länder gegen die schleichende Ausbreitung des Christentums und anderer fremder Religionen zu verteidigen.;;Una banda de feroces Vikingos ha establecido una hermandad guerrera en [jomsvikings_province.GetName] a lo largo de la costa del Báltico. Basados en un castillo conocido como Jomsborg, estos Jomsvikings son devotos de Thor, Odín y los otros dioses Nórdicos. Aguantan sin cuartel en el campo de batalla y sólo los guerreros más fuertes y más capaces están entre ellos.\n\nAunque están aquellos que los rechazan como a simples bandidos, los Jomsvikings se han comprometido a defender a todos los países Nórdicos que estén invadidos por el Cristianismo o cualquier otras religiones extranjeras.;;;;;;;;;x

EVTOPTA_TOG_4001;By all means, build your castle.;Je vous en prie, construisez votre château.;Aber sicher, baut Euer Schloss.;;Por supuesto, construye tu castillo.;;;;;;;;;x
EVTOPTA_TOG_4002;So be it.;Qu'il en soit ainsi.;So soll es sein.;;Que así sea.;;;;;;;;;x
EVTOPTA_TOG_4003;Their place in Valhalla is assured.;Leur place au Valhalla est assurée.;Ein Platz in Walhalla ist ihnen sicher.;;Su lugar en el Valhalla está asegurado.;;;;;;;;;x

EVTOPTB_TOG_4003;Let us hope those zealots steer clear of us.;Espérons que ces fanatiques se tiennent loin de nous.;Lasst uns hoffen, dass diese Fanatiker sich von uns fernhalten.;;Esperemos que esos fanáticos se alejen de nosotros.;;;;;;;;;x

EVTOPTC_TOG_4001;No, I want no troublemakers in my land.;Non, je ne veux pas de fauteurs de troubles sur mes terres.;Nein, ich kann keine Unruhestifter in meinem Land gebrauchen.;;No, no quiero problemas en mi tierra.;;;;;;;;;x

