12220_fight_king;Fights the Dread King of Darkness.;Je combats le terrifiant seigneur de l'ombre.;Bekämpft den Fürsten der Dunkelheit.;;Lucha con el Temible Rey de las tinieblas.;;;;;;;;;x
12220_submit_to_king;Submits to the Dread King of Darkness.;Je capitule face au terrifiant seigneur de l'ombre.;Ergibt sich dem Fürsten der Dunkelheit.;;Se rinde al Temible Rey de las tinieblas.;;;;;;;;;x
affectionate_may_become_charitable;Chance of [This.GetFirstName] becoming Charitable.;Probabilité que [This.GetFirstName] fasse preuve de §Ycharité§!.;Chance, dass [This.GetFirstName] die Eigenschaft Wohltätig erhält.;;Posibilidad de que [This.GetFirstName] se vuelva Caritativo/a.;;;;;;;;;x
brooding_may_become_temperate;Chance of [This.GetFirstName] becoming Temperate.;Probabilité que [This.GetFirstName] fasse preuve de §Ytempérance§!.;Chance, dass [This.GetFirstName] die Eigenschaft Gemäßigt erhält.;;Posibilidad de [This.GetFirstName] hacerse Comedido.;;;;;;;;;x
conscientious_may_become_just;Chance of [This.GetFirstName] becoming Just.;Probabilité que [This.GetFirstName] développe un §Ysens de la justice§!.;Chance, dass [This.GetFirstName] die Eigenschaft Gerecht erhält.;;Posibilidad de que [This.GetFirstName] se vuelva Justo/a.;;;;;;;;;x
council_off_custom;Disables use of §YRealm Peace§!;Empêche l'usage de la §Ypaix dans le pays§!;Deaktiviert Verwendung von §YReichsfrieden§!;;- Desactiva el uso de la §YPaz del Reino§! \n - Los miembros del Consejo puede unirse a facciones libremente.\n;;;;;;;;;x
council_on_custom;Unlocks additional Council power laws\nEnables use of §YRealm Peace§!;Débloque les lois pour accorder des pouvoirs au Conseil\nPermet d'user de la §Ypaix dans le pays§!.;Schaltet zusätzliche Gesetze zur Macht des Rates frei\nAktiviert Verwendung von §YReichsfrieden§!;;Desactiva poderes del Consejo adicionales\nPermite el uso de la §YPaz del Reino§!\nLos miembros del Consejo solo se pueden unir a facciones cuando el Consejo está §Rdescontento§!\n Los miembros del consejo tribales y nómadas siempre se pueden unir a facciones;;;;;;;;;x
curious_may_become_patient;Chance of [This.GetFirstName] becoming Patient.;Probabilité que [This.GetFirstName] fasse preuve de §Ypatience§!.;Chance, dass [This.GetFirstName] die Eigenschaft Geduldig erhält.;;Posibilidad de que [This.GetFirstName] se vuelva Paciente.;;;;;;;;;x
donation_cooldown_custom_tooltip;May not have had a donation offer refused within the last 5 years.;Aucune contribution n'a été refusée ces 5 dernières années.;Darf in den letzten 5 Jahren keine Schenkung abgelehnt haben.;;No puede haber rechazado una oferta de donación en los últimos 5 años.;;;;;;;;;x
dread_king_intrigue_tooltip;Apply intrigue skill.;Mettre en pratique la compétence en intrigue.;Intrigenfähigkeit anwenden.;;Aplicar habilidades de intriga.;;;;;;;;;x
dread_king_martial_tooltip;Apply martial skill.;Mettre en pratique la compétence martiale.;Kriegskunstfähigkeit anwenden.;;Aplicar la habilidad marcial.;;;;;;;;;x
extort_consequences_custom_tooltip;See what options lie before you.;Passer vos options en revue.;Seht, welche Möglichkeiten Euch erwarten.;;Ver cuáles son tus opciones.;;;;;;;;;x
extort_cooldown_custom_tooltip;May not have extorted your subjects within the last six months.;Les sujets n'ont pas été extorqués au court des six derniers mois.;Darf Untertanen in den letzten sechs Monaten nicht erpresst haben.;;No debes no haber extorsionado a tus súbditos en los últimos seis meses.;;;;;;;;;x
extort_dynasty_upset_custom_tooltip;This gravely upsets §Y[extortion_target.GetFullName]'s§! entire Dynasty!\n;Voilà qui contrarie gravement la dynastie de §Y[extortion_target.GetFullName]§! toute entière !\n;Die gesamte Dynastie von §Y[extortion_target.GetFullName]§! wird hierdurch aufs Äußerste vor den Kopf gestoßen!\n;;Esto trastorna gravemente toda la dinastía de §Y[extortion_target.GetFullName]§!.\n;;;;;;;;;x
extort_tyrant_custom_tooltip;Doing this is viewed as tyrannical, and will lower all of your subjects' opinion of you by §R-10§!.\n;Ce faisant, vous passerez pour un tyran, et l'opinion de vos sujets à votre égard diminuera de §R-10§!.\n;Dieser "Akt der Tyrannei" wird die Meinung all Eurer Vasallen um §R-10§! verschlechtern!\n;;Hacer esto es visto como tiránico, y bajará toda la opinión de ti que tienen sus súbditos en §R-10§!.\n;;;;;;;;;x
fussy_may_become_diligent;Chance of [This.GetFirstName] becoming Diligent.;Probabilité que [This.GetFirstName] fasse preuve de §Ydiligence§!.;Chance, dass [This.GetFirstName] die Eigenschaft Fleißig erhält.;;Posibilidad de que [This.GetFirstName] se vuelva Diligente.;;;;;;;;;x
haughty_may_become_ambitious;Chance of [This.GetFirstName] becoming Ambitious.;Probabilité que [This.GetFirstName] fasse preuve de §Yforte ambition§!.;Chance, dass [This.GetFirstName] die Eigenschaft Ehrgeizig erhält.;;Posibilidad de [This.GetFirstName] se vuelva Ambicioso.;;;;;;;;;x
idolizer_may_become_kind;Chance of [This.GetFirstName] becoming Kind.;Probabilité que [This.GetFirstName] fasse preuve de §Ygentillesse§!.;Chance, dass [This.GetFirstName] die Eigenschaft Gütig erhält.;;Posibilidad de que [This.GetFirstName] se vuelva Amable.;;;;;;;;;x
indolent_may_become_gregarious;Chance of [This.GetFirstName] becoming Gregarious.;Probabilité que [This.GetFirstName] fasse preuve de §Ysociabilité§!.;Chance, dass [This.GetFirstName] die Eigenschaft Gesellig erhält.;;Posibilidad de que [This.GetFirstName] se vuelva Gregario.;;;;;;;;;x
rowdy_may_become_brave;Chance of [This.GetFirstName] becoming Brave.;Probabilité que [This.GetFirstName] fasse preuve de §Ybravoure§!.;Chance, dass [This.GetFirstName] die Eigenschaft Tapfer erhält.;;Probabilidad de [This.GetFirstName] se vuelva Valiente.;;;;;;;;;x
timid_may_become_content;Chance of [This.GetFirstName] becoming Content.;Probabilité que [This.GetFirstName] éprouve du contentement.;Chance, dass [This.GetFirstName] die Eigenschaft Zufrieden erhält.;;Posibilidad de que [This.GetFirstName] se vuelva Contento.;;;;;;;;;x
willful_may_become_proud;Chance of [This.GetFirstName] becoming Proud.;Probabilité que [This.GetFirstName] fasse preuve d'§Yorgueil§!.;Chance, dass [This.GetFirstName] die Eigenschaft Stolz erhält.;;Posibilidad de que [This.GetFirstName] se vuelva orgulloso/a.;;;;;;;;;x
rat_dies_tooltip_1;Flipper dies!;Passe-partout meurt !;Hopser stirbt!;;¡Aleta muere!;;;;;;;;;x
rat_dies_tooltip_2;Cuddles dies!;Cajoleur meurt !;Struppi stirbt!;;¡Acurrucos muere!;;;;;;;;;x
rat_dies_tooltip_3;Smelly dies!;Grignoteur meurt !;Stinki stirbt!;;¡Olores muere!;;;;;;;;;x
playful_may_become_cruel;Chance of [This.GetFirstName] becoming Cruel.;Probabilité que [This.GetFirstName] fasse preuve de §Ycruauté§!.;Chance, dass [This.GetFirstName] die Eigenschaft Grausam erhält.;;Posibilidad de que [This.GetFirstName] se vuelva Cruel.;;;;;;;;;x
offer_donation_custom_tooltip;Your liege receives a donation offer from you.\n;Votre seigneur lige a bien reçu votre offre.\n;Euer Lehnsherr erhält von Euch das Angebot, ihm Geld zu schenken.\n;;Tu señor recibe una oferta de donación de tu parte.\n;;;;;;;;;x
council_war_off_custom;Council members can join factions freely\n;Les membres du Conseil peuvent librement rejoindre une faction\n;Ratsmitglieder können Fraktionen uneingeschränkt beitreten.\n;;Los miembros del Consejo pueden unirse a facciones libremente.\n;;;;;;;;;x
council_war_on_custom;Council members may only join factions when the Council is §RDiscontent§!\nNomad and tribal Council members can always join factions;Les membres du Conseil ne peuvent rejoindre une faction que lorsque le Conseil est §Rinsatisfait§!. \nSauf les conseillers nomades et tribaux qui peuvent eux en rejoindre une en tout temps.;Ratsmitglieder können Fraktionen nur beitreten, wenn der Rat §Runzufrieden§! ist\nRatsmitglieder von Nomaden und Stämmen können jederzeit Fraktionen beitreten;;Los miembros del Consejo sólo pueden unirse a facciones cuando el Consejo esté §Rdescontento§!\nNómadas y miembros tribales del Consejo siempre pueden unirse a facciones.;;;;;;;;;x
TOOLTIP_ALLOW_TRUE_COGNATIC;Allows Absolute Cognatic succession laws\n;Autorise la loi de succession cognatique\n;Erlaubt absolut kognatische Erbfolgerechte\n;;Permite las leyes de sucesión absoluta consanguínea\n;;;;;;;;x
TOOLTIP_DISALLOW_TRUE_COGNATIC;Disallows Absolute Cognatic succession laws\n;Empêche la loi de succession cognatique\n;Verbietet absolut kognatische Erbfolgerechte\n;;No permite las leyes de sucesión absoluta consanguínea\n;;;;;;;;x
character_owe_favor;This character will owe you a §YFavor§!.;Ce personnage vous devra une §Yfaveur§!.;Dieser Charakter wird Euch einen §YGefallen§! schuldig sein.;;¡Este personaje te deberá un §YFavor§!;;;;;;;;;x
indebted_to_family_tooltip;§Y[target_unlanded_friend.GetFirstName]'s§! opinion of all your §YDynasty Members§! changes by §G50§! §Y(Loyal Servant)§!\n;L'opinion de §Y[target_unlanded_friend.GetFirstName]§! sur les §Ymembres de votre dynastie§! change de §G50§! §Y(Serviteur loyal)§!\n;Die Meinung von §Y[target_unlanded_friend.GetFirstName]§! gegenüber all Euren §YDynastiemitgliedern§! ändert sich um §G50§! §Y(Loyaler Diener)§!\n;;§YOpinón sobre [target_unlanded_friend.GetFirstName]§! sobre todos los §YMiembros de la dinastía§! cambia en §G50§! §Y(Fiel sirviente)§!\n;;;;;;;;;x
introduce_heir_custom_tooltip;Send out the invitations.;Vous envoyez les invitations.;Versendet die Einladungen.;;Enviar las invitaciones.;;;;;;;;;x
stats_increased_tooltip;§Y[From.GetTitledFirstName]'s§! stats are increased.\n;Les compétences [From.Get_du_TitledFirstNameJ] ont augmenté.\n;Die Werte von §Y[From.GetTitledFirstName]§! sind gestiegen.\n;;Aumentan las estadísticas de §Y[From.GetTitledFirstName]§!.\n;;;;;;;;;x
